./experiments/25Jul_fullimg__graham/ not exist
Create ./experiments/25Jul_fullimg__graham/ success
./experiments/25Jul_fullimg__graham/log not exist
Create ./experiments/25Jul_fullimg__graham/log success
./experiments/25Jul_fullimg__graham/trained_models not exist
Create ./experiments/25Jul_fullimg__graham/trained_models success
Epoch [96/300], Step [100/206], Loss: 0.3622, Accuracy: 0.00%
Epoch [96/300], Step [200/206], Loss: 0.4923, Accuracy: 0.00%
Epoch [97/300], Step [100/206], Loss: 0.3362, Accuracy: 0.00%
Epoch [97/300], Step [200/206], Loss: 0.4330, Accuracy: 0.00%
Epoch [98/300], Step [100/206], Loss: 0.2811, Accuracy: 0.00%
Epoch [98/300], Step [200/206], Loss: 0.3318, Accuracy: 0.00%
Epoch [99/300], Step [100/206], Loss: 0.1786, Accuracy: 0.00%
Epoch [99/300], Step [200/206], Loss: 0.5153, Accuracy: 0.00%
Epoch [100/300], Step [100/206], Loss: 0.2716, Accuracy: 0.00%
Epoch [100/300], Step [200/206], Loss: 0.3028, Accuracy: 0.00%
Epoch [101/300], Step [100/206], Loss: 0.1699, Accuracy: 0.00%
Epoch [101/300], Step [200/206], Loss: 0.3255, Accuracy: 0.00%
Epoch [102/300], Step [100/206], Loss: 0.6123, Accuracy: 0.00%
Epoch [102/300], Step [200/206], Loss: 0.3095, Accuracy: 0.00%
Epoch [103/300], Step [100/206], Loss: 0.2622, Accuracy: 0.00%
Epoch [103/300], Step [200/206], Loss: 0.1983, Accuracy: 0.00%
Epoch [104/300], Step [100/206], Loss: 0.2874, Accuracy: 0.00%
Epoch [104/300], Step [200/206], Loss: 0.2021, Accuracy: 0.00%
Epoch [105/300], Step [100/206], Loss: 0.2876, Accuracy: 0.00%
Epoch [105/300], Step [200/206], Loss: 0.2267, Accuracy: 0.00%
Epoch [106/300], Step [100/206], Loss: 0.5921, Accuracy: 0.00%
Epoch [106/300], Step [200/206], Loss: 0.2982, Accuracy: 0.00%
Epoch [107/300], Step [100/206], Loss: 0.3816, Accuracy: 0.00%
Epoch [107/300], Step [200/206], Loss: 0.1741, Accuracy: 0.00%
Epoch [108/300], Step [100/206], Loss: 0.5208, Accuracy: 0.00%
Epoch [108/300], Step [200/206], Loss: 0.2546, Accuracy: 0.00%
Epoch [109/300], Step [100/206], Loss: 0.2438, Accuracy: 0.00%
Epoch [109/300], Step [200/206], Loss: 0.1689, Accuracy: 0.00%
Epoch [110/300], Step [100/206], Loss: 0.1889, Accuracy: 0.00%
Epoch [110/300], Step [200/206], Loss: 0.3119, Accuracy: 0.00%
Epoch [111/300], Step [100/206], Loss: 0.2035, Accuracy: 0.00%
Epoch [111/300], Step [200/206], Loss: 0.2105, Accuracy: 0.00%
Epoch [112/300], Step [100/206], Loss: 0.3889, Accuracy: 0.00%
Epoch [112/300], Step [200/206], Loss: 0.1735, Accuracy: 0.00%
Epoch [113/300], Step [100/206], Loss: 0.2044, Accuracy: 0.00%
Epoch [113/300], Step [200/206], Loss: 0.3092, Accuracy: 0.00%
Epoch [114/300], Step [100/206], Loss: 0.1555, Accuracy: 0.00%
Epoch [114/300], Step [200/206], Loss: 0.2978, Accuracy: 0.00%
Epoch [115/300], Step [100/206], Loss: 0.2540, Accuracy: 0.00%
Epoch [115/300], Step [200/206], Loss: 0.2691, Accuracy: 0.00%
Epoch [116/300], Step [100/206], Loss: 0.2553, Accuracy: 0.00%
Epoch [116/300], Step [200/206], Loss: 0.2542, Accuracy: 0.00%
Epoch [117/300], Step [100/206], Loss: 0.1790, Accuracy: 0.00%
Epoch [117/300], Step [200/206], Loss: 0.1685, Accuracy: 0.00%
Epoch [118/300], Step [100/206], Loss: 0.2334, Accuracy: 0.00%
Epoch [118/300], Step [200/206], Loss: 0.4585, Accuracy: 0.00%
